slug,title,purpose,categories,source_url,secretariat,website,registered_contact_name,date_of_most_recent_agm
antisemitism,All-Party Parliamentary Group Against Antisemitism,To combat antisemitism and help develop and seek implementation of effective public policy to combat antisemitism.,"Human Rights, Equality & Social Justice|Religion, Faith & Belief Communities",https://publications.parliament.uk/pa/cm/cmallparty/260223/antisemitism.htm,Antisemitism Policy Trust acts as the group's secretariat.http://www.antisemitism.org.uk/,https://antisemitism.org.uk/the-all-party-parliamentary-group-against-antisemitism/,Joani Reid MP,2025-11-04 00:00:00
apprenticeships,All-Party Parliamentary Group on Apprenticeships,To provide a forum for parliamentarians and employers to discuss how to promote the role of high quality apprenticeships.,"Education, Skills & Youth|Economy, Business & Industry",https://publications.parliament.uk/pa/cm/cmallparty/260223/apprenticeships.htm,Connect Public Affairs acts as the group's secretariat.https://connectpa.co.uk/,https://www.appgapprenticeships.uk/,Mr Toby Perkins MP,2025-11-12 00:00:00
arbitrary-detention-and-hostage-affairs,All-Party Parliamentary Group on Arbitrary Detention and Hostage Affairs,"The APPG focuses on the arbitrary detention of British citizens abroad, and the taking of British citizens as hostages for leverage in State to State relations. The APPG coordinates parliamentary support for specific cases and builds on advocacy to appoint a Director within the Foreign, Commonwealth and Development Office on Arbitrary Detention.","International Affairs, Development & Trade|Justice, Law & Security|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/arbitrary-detention-and-hostage-affairs.htm,International Bar Association’s Human Rights Institute acts as the group's secretariat.https://www.ibanet.org/IBAHRI,https://www.hostagesappg.co.uk/,Alicia Kearns MP,2025-12-16 00:00:00
archaeology,All-Party Parliamentary Archaeology Group,To further an understanding of archaeology in Parliament and promote archaeology and archaeological education.,"Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/archaeology.htm,Heyworth Heritage acts as the group's secretariat.http://heyworthheritage.com/,http://www.appag.org.uk/,Dr Simon Opher MP,2025-03-26 00:00:00
archives-and-history,All-Party Parliamentary Group for Archives and History,"To promote the importance of the work of archivists and historians, and recognise outstanding contributions to the archiving and historical professions.","Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/archives-and-history.htm,Archives and Records Association acts as the group's secretariat.https://www.archives.org.uk/,None,Chris Evans MP,2026-01-28 00:00:00
armed-forces,All-Party Parliamentary Group for the Armed Forces,To promote better understanding of His Majesty's Armed Forces in Parliament.,"Justice, Law & Security",https://publications.parliament.uk/pa/cm/cmallparty/260223/armed-forces.htm,"Sophie Lane, Office of Alex Ballinger MP acts as the group's secretariat.",None,Alex Ballinger MP,2024-11-21 00:00:00
armed-forces-community,All-Party Parliamentary Group on the Armed Forces Community,"The APPG will identify issues which impact members of the Armed Forces community, including those who have served and their families.","Justice, Law & Security|Human Rights, Equality & Social Justice",https://publications.parliament.uk/pa/cm/cmallparty/260223/armed-forces-community.htm,The Royal British Legion acts as the group's secretariat.https://www.britishlegion.org.uk/,https://www.calvinbailey.co.uk/armedforcesappg,Mr Calvin Bailey MP,2026-01-13 00:00:00
armenia,All-Party Parliamentary Group for Armenia,To encourage links between the UK parliament and the Republic of Armenia and to increase awareness of that country in the UK parliament.,Country Group,https://publications.parliament.uk/pa/cm/cmallparty/260223/armenia.htm,Armenian National Committee of the United Kingdom acts as the group's secretariat.http://ankuk.org.uk/,https://ancuk.org.uk/about-anc-uk/appg-for-armenia/,Jessica Morden MP,2025-10-29 00:00:00
art-craft-and-design-in-education,"All-Party Parliamentary Group for Art, Craft and Design in Education","The group believes that art, craft and design education is essential to the economy and to the cultural, spiritual, creative and social wellbeing of all; that it empowers individuals, enabling them to engage with our rich visual and cultural heritage, express themselves and become visually literate and perceptive, and that access to high quality art, craft and design education is an entitlement for everyone.","Arts, Culture, Heritage & Media|Education, Skills & Youth",https://publications.parliament.uk/pa/cm/cmallparty/260223/art-craft-and-design-in-education.htm,,None,Ms Polly Billington MP,2025-11-03 00:00:00
artificial-intelligence,All-Party Parliamentary Group on Artificial Intelligence,"The APPG explores the social, economic and societal impact and implications of artificial intelligence. Our aim is to unleash the full potential of AI in all sectors while ensuring responsible and purposeful use of this technology to drive positive change.","Science, Technology & Innovation",https://publications.parliament.uk/pa/cm/cmallparty/260223/artificial-intelligence.htm,Big Innovation Centre acts as the group's secretariat.http://www.biginnovationcentre.com/,https://bicpavilion.com/about_pavilion/appg-artificial-intelligence,Dr Allison Gardner MP,2026-01-26 00:00:00
arts-and-heritage,All-Party Parliamentary Arts and Heritage Group,To promote interest in the arts and heritage at Westminster.,"Arts, Culture, Heritage & Media",https://publications.parliament.uk/pa/cm/cmallparty/260223/arts-and-heritage.htm,,None,Dan Carden MP,2026-02-03 00:00:00
assistive-and-accessible-technology,All-Party Parliamentary Group for Assistive and Accessible Technology,"To disseminate knowledge, generate debate and facilitate engagement on assistive and accessible technology amongst members of both Houses of Parliament.","Science, Technology & Innovation|Health, Medicine & Public Health",https://publications.parliament.uk/pa/cm/cmallparty/260223/assistive-and-accessible-technology.htm,Policy Connect acts as the group's secretariat.http://www.policyconnect.org.uk/,https://www.policyconnect.org.uk/appgat,Josh Fenton-Glynn MP,2026-02-10 00:00:00
attention-deficit-hyperactivity-disorder-adhd,All-Party Parliamentary Group on Attention Deficit Hyperactivity Disorder (ADHD),"To raise awareness of Attention Deficit Hyperactive Disorder (ADHD) and its personal, economical, and social impact. To help bring positive change to the lives of people living with ADHD. To share ideas, and act as a link between Government, Parliament, organisations and charities involved with this issue.","Health, Medicine & Public Health|Social Care, Welfare & Family Support",https://publications.parliament.uk/pa/cm/cmallparty/260223/attention-deficit-hyperactivity-disorder-adhd.htm,GK Strategy acts as the group's secretariat.https://gkstrategy.com/,None,Jo Platt MP,2025-07-16 00:00:00
